OrderID,Date,Region,Product,Category,Units_Sold,Unit_Price,COGS,Profit
1,2024-09-27,North,Wallet,Accessories,111,54843,42779,1339104
2,2024-08-02,East,Mobile,Electronics,79,22462,14040,665338
3,2024-12-09,South,Cap,Fashion,112,56601,54068,283696
4,2024-06-09,North,Curtains,Home Decor,80,20269,16052,337360
5,2024-02-18,North,Headphones,Electronics,95,26158,23500,252510
6,2024-09-27,West,Jacket,Fashion,66,19618,16513,204930
7,2024-08-31,East,Wallet,Accessories,68,51180,39686,781592
8,2024-01-21,East,Tablet,Electronics,77,15002,9509,422961
9,2024-01-14,West,Lamp,Home Decor,118,43501,32385,1311688
10,2024-12-05,South,Cap,Fashion,96,55138,39251,1525152
11,2024-03-21,South,Tablet,Electronics,40,2085,1598,19480
12,2024-11-05,West,T-shirt,Fashion,97,46258,39285,676381
13,2024-09-26,South,Clock,Home Decor,99,12034,7383,460449
14,2024-07-08,North,Jacket,Fashion,44,24776,17813,306372
15,2024-02-22,East,Mobile,Electronics,28,12685,7726,138852
16,2024-02-10,North,Curtains,Home Decor,33,51714,35166,546084
17,2024-05-08,West,Laptop,Electronics,112,3195,2009,132832
18,2024-06-11,North,Belt,Accessories,39,13166,9505,142779
19,2024-01-28,North,Bag,Accessories,11,8892,6929,21593
20,2024-02-17,North,Clock,Home Decor,27,12337,11433,24408
21,2024-08-01,West,Wallet,Accessories,95,43030,37874,489820
22,2024-05-10,East,Sunglasses,Accessories,5,17912,17310,3010
23,2024-07-25,North,Belt,Accessories,19,22861,15040,148599
24,2024-03-03,East,Carpet,Home Decor,100,52442,43587,885500
25,2024-08-18,South,Headphones,Electronics,113,2178,1908,30510
26,2024-06-08,North,Headphones,Electronics,75,10414,7000,256050
27,2024-06-18,South,Jacket,Fashion,49,43057,26645,804188
28,2024-04-17,West,Headphones,Electronics,48,26439,16166,493104
29,2024-12-13,East,Bag,Accessories,93,44762,43356,130758
30,2024-08-20,West,Shoes,Fashion,7,40794,31793,63007
31,2024-11-13,North,Vase,Home Decor,41,32468,31705,31283
32,2024-06-08,South,Belt,Accessories,100,51147,47743,340400
33,2024-02-21,South,Lamp,Home Decor,16,53233,41484,187984
34,2024-04-22,North,Watch,Accessories,60,28228,27430,47880
35,2024-08-07,South,Mobile,Electronics,58,1354,1031,18734
36,2024-05-05,East,Laptop,Electronics,6,22056,20249,10842
37,2024-07-21,East,Jacket,Fashion,60,53870,41082,767280
38,2024-04-07,West,Sunglasses,Accessories,74,24009,21979,150220
39,2024-05-03,North,Watch,Accessories,63,44857,29049,995904
40,2024-12-11,West,Wallet,Accessories,71,30706,22268,599098
41,2024-05-07,North,Curtains,Home Decor,43,35653,24442,482073
42,2024-05-30,West,Tablet,Electronics,35,20945,20583,12670
43,2024-02-29,West,Clock,Home Decor,117,2549,1553,116532
44,2024-02-06,North,Curtains,Home Decor,36,7658,5502,77616
45,2024-10-30,East,Tablet,Electronics,84,1654,1151,42252
46,2024-04-25,West,Lamp,Home Decor,79,51300,45661,445481
47,2024-08-14,South,Jacket,Fashion,116,3057,2859,22968
48,2024-12-31,South,Camera,Electronics,86,12469,9500,255334
49,2024-06-09,North,Sunglasses,Accessories,72,23828,19235,330696
50,2024-05-14,West,Headphones,Electronics,71,21380,16545,343285
51,2024-01-22,East,Headphones,Electronics,114,51345,36872,1649922
52,2024-09-20,East,Cap,Fashion,31,31246,30921,10075
53,2024-11-12,West,Laptop,Electronics,52,46214,41472,246584
54,2024-01-17,West,Lamp,Home Decor,48,59087,40398,897072
55,2024-04-08,South,Camera,Electronics,109,34328,31901,264543
56,2024-06-29,South,Laptop,Electronics,99,52822,52023,79101
57,2024-09-09,East,Headphones,Electronics,89,36243,30041,551978
58,2024-01-18,West,Tablet,Electronics,29,33245,27291,172666
59,2024-12-25,East,T-shirt,Fashion,50,37131,24118,650650
60,2024-06-03,East,Clock,Home Decor,110,34677,22328,1358390
61,2024-10-25,North,Laptop,Electronics,52,40474,34778,296192
62,2024-11-01,East,T-shirt,Fashion,29,11147,10523,18096
63,2024-11-08,East,Clock,Home Decor,40,5280,5161,4760
64,2024-05-22,East,Headphones,Electronics,96,32597,26578,577824
65,2024-07-04,North,Belt,Accessories,67,50800,40793,670469
66,2024-04-10,West,Jeans,Fashion,101,15099,11875,325624
67,2024-01-05,West,Curtains,Home Decor,107,22199,17230,531683
68,2024-02-16,South,Headphones,Electronics,103,40234,33055,739437
69,2024-05-03,South,Carpet,Home Decor,110,18577,16795,196020
70,2024-02-27,West,Tablet,Electronics,59,26445,17413,532888
71,2024-10-05,South,Cap,Fashion,13,35199,25895,120952
72,2024-01-01,South,Mobile,Electronics,115,46675,38770,909075
73,2024-08-24,West,Shoes,Fashion,5,3843,2531,6560
74,2024-12-14,South,Sunglasses,Accessories,71,20031,15682,308779
75,2024-03-26,North,Vase,Home Decor,61,28432,18897,581635
76,2024-08-25,South,Laptop,Electronics,66,29624,18373,742566
77,2024-12-06,West,T-shirt,Fashion,43,26711,19190,323403
78,2024-09-06,East,Cap,Fashion,14,14569,11620,41286
79,2024-05-26,South,Clock,Home Decor,62,10323,7407,180792
80,2024-01-04,North,Carpet,Home Decor,20,52491,46513,119560
81,2024-06-08,West,Shoes,Fashion,95,1351,1100,23845
82,2024-02-02,East,Clock,Home Decor,37,5552,3816,64232
83,2024-06-16,North,Vase,Home Decor,78,17950,13470,349440
84,2024-10-28,East,Headphones,Electronics,6,32496,21658,65028
85,2024-12-02,East,Jeans,Fashion,94,25851,19003,643712
86,2024-04-24,South,T-shirt,Fashion,109,20858,17491,367003
87,2024-03-15,South,Cap,Fashion,33,8043,7215,27324
88,2024-06-12,North,Camera,Electronics,14,39256,36652,36456
89,2024-04-08,North,Vase,Home Decor,116,18455,13282,600068
90,2024-07-01,West,Camera,Electronics,17,43786,29134,249084
91,2024-09-29,South,Watch,Accessories,117,14897,14202,81315
92,2024-07-05,South,Lamp,Home Decor,23,47780,33757,322529
93,2024-03-16,North,Carpet,Home Decor,13,35770,25659,131443
94,2024-05-23,East,Jacket,Fashion,73,56918,52327,335143
95,2024-02-22,East,Headphones,Electronics,27,1667,1529,3726
96,2024-07-04,South,Camera,Electronics,43,23425,18596,207647
97,2024-08-08,East,Tablet,Electronics,111,24894,17993,766011
98,2024-03-14,North,Wallet,Accessories,62,35807,28651,443672
99,2024-06-18,West,Camera,Electronics,13,28069,21031,91494
100,2024-01-29,North,T-shirt,Fashion,41,55193,41286,570187
101,2024-05-24,South,Laptop,Electronics,75,37580,36156,106800
102,2024-09-08,South,Curtains,Home Decor,35,35078,28390,234080
103,2024-12-11,South,Vase,Home Decor,23,29210,24842,100464
104,2024-05-05,West,Mobile,Electronics,62,30855,24136,416578
105,2024-12-26,East,Carpet,Home Decor,43,52724,46094,285090
106,2024-07-09,South,Headphones,Electronics,117,24460,23537,107991
107,2024-02-27,South,Camera,Electronics,48,46240,44288,93696
108,2024-07-31,West,Sunglasses,Accessories,79,11503,10153,106650
109,2024-02-16,North,Wallet,Accessories,109,53028,47283,626205
110,2024-02-23,North,Watch,Accessories,7,19587,19017,3990
111,2024-11-25,West,Tablet,Electronics,100,11523,11066,45700
112,2024-01-08,North,Curtains,Home Decor,96,56471,52652,366624
113,2024-01-28,South,Jacket,Fashion,96,38232,25804,1193088
114,2024-05-24,South,Vase,Home Decor,77,13716,11108,200816
115,2024-02-15,North,Carpet,Home Decor,39,52976,40199,498303
116,2024-07-15,West,Jeans,Fashion,51,10636,10527,5559
117,2024-12-30,East,Clock,Home Decor,9,1515,1127,3492
118,2024-08-11,South,Shoes,Fashion,115,47780,43522,489670
119,2024-06-25,East,Tablet,Electronics,81,20884,19151,140373
120,2024-11-06,East,Tablet,Electronics,10,13263,11163,21000
121,2024-09-15,South,Camera,Electronics,57,24074,16834,412680
122,2024-03-23,South,Camera,Electronics,21,48712,42615,128037
123,2024-07-23,North,Tablet,Electronics,8,22449,17805,37152
124,2024-04-04,West,Mobile,Electronics,76,59418,44829,1108764
125,2024-04-27,South,T-shirt,Fashion,7,29038,24575,31241
126,2024-08-09,North,Headphones,Electronics,61,23428,18609,293959
127,2024-03-06,North,Sunglasses,Accessories,79,54182,38301,1254599
128,2024-10-20,South,Curtains,Home Decor,54,55893,47776,438318
129,2024-11-03,East,Jeans,Fashion,42,57300,47650,405300
130,2024-03-21,East,Clock,Home Decor,9,38160,31017,64287
131,2024-09-29,South,Shoes,Fashion,88,37432,26547,957880
132,2024-07-23,South,Cap,Fashion,111,12515,8373,459762
133,2024-07-01,East,Watch,Accessories,84,6738,4644,175896
134,2024-07-02,West,Jacket,Fashion,29,18771,15405,97614
135,2024-03-01,West,Sunglasses,Accessories,55,24454,16398,443080
136,2024-06-18,West,Mobile,Electronics,65,23561,16480,460265
137,2024-01-12,North,Camera,Electronics,94,28193,25500,253142
138,2024-03-13,North,Mobile,Electronics,30,10988,8627,70830
139,2024-02-17,East,Belt,Accessories,65,4932,3783,74685
140,2024-04-22,West,Lamp,Home Decor,103,50928,50526,41406
141,2024-03-18,West,Bag,Accessories,92,49013,32165,1550016
142,2024-01-07,West,Jeans,Fashion,7,18530,17512,7126
143,2024-09-30,East,Jeans,Fashion,42,40150,38144,84252
144,2024-01-28,East,Watch,Accessories,78,1562,1190,29016
145,2024-10-26,South,Bag,Accessories,29,39556,35860,107184
146,2024-03-07,West,Lamp,Home Decor,109,59013,52542,705339
147,2024-09-20,East,Bag,Accessories,44,16228,13656,113168
148,2024-11-15,South,Headphones,Electronics,102,10667,8205,251124
149,2024-10-15,North,Camera,Electronics,57,27785,17169,605112
150,2024-11-26,South,Jacket,Fashion,66,11089,7254,253110
151,2024-08-30,East,Watch,Accessories,35,50715,46291,154840
152,2024-08-07,West,Clock,Home Decor,79,57847,35397,1773550
153,2024-03-02,South,Shoes,Fashion,61,53941,52995,57706
154,2024-06-21,East,Bag,Accessories,48,6969,5436,73584
155,2024-07-30,East,Jacket,Fashion,101,46087,41779,435108
156,2024-05-21,South,Lamp,Home Decor,68,43033,41105,131104
157,2024-12-21,East,Jeans,Fashion,81,51678,36984,1190214
158,2024-01-10,West,Mobile,Electronics,9,22922,20603,20871
159,2024-05-09,West,Cap,Fashion,88,9012,7570,126896
160,2024-09-21,North,Laptop,Electronics,79,28034,17704,816070
161,2024-11-13,North,Watch,Accessories,64,735,458,17728
162,2024-05-16,West,Cap,Fashion,38,19519,17849,63460
163,2024-12-14,West,Headphones,Electronics,76,42332,26708,1187424
164,2024-03-18,East,Tablet,Electronics,30,21111,20411,21000
165,2024-10-22,North,Mobile,Electronics,76,10010,9295,54340
166,2024-12-18,North,Jeans,Fashion,27,37938,35648,61830
167,2024-08-12,North,Laptop,Electronics,115,46058,42271,435505
168,2024-07-16,East,Vase,Home Decor,10,27702,26400,13020
169,2024-01-15,West,Clock,Home Decor,115,6288,4876,162380
170,2024-06-05,West,Vase,Home Decor,42,32684,31464,51240
171,2024-10-15,East,Camera,Electronics,72,19529,17572,140904
172,2024-11-25,East,Cap,Fashion,101,46697,40226,653571
173,2024-01-15,West,Headphones,Electronics,33,20603,13075,248424
174,2024-06-21,West,Headphones,Electronics,6,49038,32460,99468
175,2024-10-18,West,Belt,Accessories,30,59678,57462,66480
176,2024-11-25,South,Vase,Home Decor,108,11289,7984,356940
177,2024-12-28,South,Clock,Home Decor,16,10957,8669,36608
178,2024-04-20,North,Clock,Home Decor,108,34095,23073,1190376
179,2024-11-19,West,Curtains,Home Decor,9,53528,47469,54531
180,2024-04-01,North,Bag,Accessories,35,44909,37613,255360
181,2024-09-23,South,Shoes,Fashion,27,35060,23907,301131
182,2024-04-19,South,Camera,Electronics,40,59049,39535,780560
183,2024-02-24,East,Laptop,Electronics,119,54683,51875,334152
184,2024-05-16,North,Watch,Accessories,78,53159,46603,511368
185,2024-10-17,North,Mobile,Electronics,67,50188,48463,115575
186,2024-07-28,East,Bag,Accessories,95,58261,35287,2182530
187,2024-12-29,East,Tablet,Electronics,55,50857,37806,717805
188,2024-12-09,South,Headphones,Electronics,37,55972,51492,165760
189,2024-06-02,South,Belt,Accessories,32,16741,11053,182016
190,2024-12-26,West,Laptop,Electronics,53,37511,33710,201453
191,2024-07-07,East,Jacket,Fashion,108,56356,35450,2257848
192,2024-08-02,South,Camera,Electronics,55,24942,23891,57805
193,2024-10-12,North,Sunglasses,Accessories,20,28571,21285,145720
194,2024-06-23,South,Shoes,Fashion,118,29365,22620,795910
195,2024-08-09,South,Lamp,Home Decor,42,26022,20996,211092
196,2024-02-24,West,Lamp,Home Decor,107,49270,36083,1411009
197,2024-12-31,East,T-shirt,Fashion,38,53103,38581,551836
198,2024-06-26,West,Wallet,Accessories,11,16208,13029,34969
199,2024-11-18,East,Laptop,Electronics,92,31178,20396,991944
200,2024-02-23,West,Sunglasses,Accessories,115,3800,3122,77970
201,2024-09-20,West,Watch,Accessories,38,8470,6227,85234
202,2024-06-13,West,Vase,Home Decor,58,56264,34775,1246362
203,2024-11-25,East,Bag,Accessories,11,16532,14234,25278
204,2024-02-05,West,Tablet,Electronics,33,31919,27642,141141
205,2024-07-15,East,Shoes,Fashion,24,20478,15537,118584
206,2024-04-28,East,Bag,Accessories,16,51207,36511,235136
207,2024-02-22,South,Laptop,Electronics,48,55638,33535,1060944
208,2024-03-21,West,Jacket,Fashion,78,48785,29622,1494714
209,2024-04-24,South,Watch,Accessories,85,3073,2453,52700
210,2024-10-07,North,Clock,Home Decor,107,24252,18275,639539
211,2024-01-04,South,Jeans,Fashion,30,41901,30429,344160
212,2024-11-21,East,Cap,Fashion,22,27165,21590,122650
213,2024-06-13,North,Mobile,Electronics,29,56793,43818,376275
214,2024-12-07,South,Sunglasses,Accessories,89,51726,43634,720188
215,2024-04-07,West,Belt,Accessories,16,47328,32072,244096
216,2024-07-08,North,Bag,Accessories,50,21109,17942,158350
217,2024-11-02,North,Jeans,Fashion,57,12055,7831,240768
218,2024-01-11,West,Tablet,Electronics,40,26212,17734,339120
219,2024-04-07,South,Belt,Accessories,59,23650,20839,165849
220,2024-10-15,West,Cap,Fashion,40,9442,6123,132760
221,2024-12-02,West,Belt,Accessories,66,24558,18336,410652
222,2024-03-13,South,Shoes,Fashion,77,35611,30375,403172
223,2024-04-13,North,Laptop,Electronics,46,45580,32130,618700
224,2024-08-16,South,Belt,Accessories,112,41631,31881,1092000
225,2024-10-01,West,T-shirt,Fashion,105,49582,45392,439950
226,2024-11-25,North,Camera,Electronics,61,28970,20888,493002
227,2024-05-28,West,Vase,Home Decor,85,2250,1666,49640
228,2024-03-29,South,Shoes,Fashion,16,12418,8676,59872
229,2024-01-26,North,Shoes,Fashion,51,28435,23462,253623
230,2024-10-08,East,Lamp,Home Decor,89,20041,15596,395605
231,2024-05-16,East,Sunglasses,Accessories,119,15523,13902,192899
232,2024-08-10,South,Sunglasses,Accessories,98,52071,32545,1913548
233,2024-04-12,South,Jeans,Fashion,21,24577,15103,198954
234,2024-07-06,West,Vase,Home Decor,49,13909,13679,11270
235,2024-07-01,West,Tablet,Electronics,91,13151,13013,12558
236,2024-12-14,West,Watch,Accessories,90,50572,42908,689760
237,2024-04-17,West,Shoes,Fashion,70,9002,8164,58660
238,2024-09-07,South,T-shirt,Fashion,17,28288,24378,66470
239,2024-11-13,North,Wallet,Accessories,112,13484,13113,41552
240,2024-09-22,East,Curtains,Home Decor,34,50572,47042,120020
241,2024-06-25,North,Carpet,Home Decor,7,44960,43695,8855
242,2024-05-25,West,Clock,Home Decor,66,54040,46108,523512
243,2024-03-13,North,Lamp,Home Decor,19,15652,14589,20197
244,2024-10-19,South,Vase,Home Decor,65,45528,36298,599950
245,2024-11-28,South,Vase,Home Decor,102,48780,33781,1529898
246,2024-05-27,West,Vase,Home Decor,97,16434,10905,536313
247,2024-12-31,North,Tablet,Electronics,78,40542,27929,983814
248,2024-08-28,North,Mobile,Electronics,7,14699,10754,27615
249,2024-02-16,South,Camera,Electronics,91,52388,38456,1267812
250,2024-08-28,South,Wallet,Accessories,65,43374,35617,504205
